key,name,cn_name,publisher,genre,track_count,first_date,spotify_id,status,reason_cn,desc_en,desc_cn,desc_official,apple_url,official_site
cinephiliacs,The Cinephiliacs,影迷学,Andrew Kiaroscuro and Daniel Dagesse,Film Interviews,8,2017-03-15,3XRuUQLY8mBIw0zqTsx5JN,G,学院派影评访谈；'ReWatch'重看经典环节极具价值。（官方简介未取到，此条为概述）,A Florida filmmaking podcast where we casually interview filmmakers and entertainers locally and from around the world.,影评人彼得·拉布扎主持的学院派电影对谈：'ReWatch' 环节逐场重看经典作品，并专访影史学者与批评家，硬核电影研究的播客版。,False,https://podcasts.apple.com/us/podcast/cinephiliacs/id1677340516?uo=4,
newbookssts,"New Books in Science, Technology, and Society",新书：科学·技术·社会,New Books Network,Social Sciences,2001,2016-01-16,7HXF18K7if2pUE59yGPDX0,G,STS 学者新书访谈频道，拉图尔/科学知识社会学的英文重镇。,"This podcast is a channel on the New Books Network. The New Books Network is an academic audio library dedicated to public education. In each episode you will hear scholars discuss their recently published research with another expert in their field. Discover our 150+ channels and browse our 28,000+ episodes on our website: ⁠newbooksnetwork.com⁠ Subscribe to our free weekly Substack newsletter to get informative, engaging content straight to your inbox: ⁠https://newbooksnetwork.substack.com/⁠ Follow us on Instagram and Bluesky to learn about more our latest interviews: @newbooksnetwork Support our show by becoming a premium member! https://newbooksnetwork.supportingcast.fm/science-technology",新书网（New Books Network）旗下频道。新书网是一座致力于公共教育的学术音频图书馆；每期由学者与同行专家对谈他们新近发表的研究。,True,https://podcasts.apple.com/us/podcast/new-books-in-science-technology-and-society/id498978442?uo=4,
techwontsaveus,Tech Won't Save Us,科技救不了我们,Paris Marx,Technology,357,2020-01-11,3UhsI7s4bkH1FcMZI5u9iD,G,批判科技的政治经济学：数据中心、AI 与平台权力。,"Governments are prioritizing data centers at the expense of communities and the planet, but it doesn’t have to be this way. Matt Haugen joins Paris Marx to discuss how national strategies are dismantling environmental protections while enriching a handful of megacorporations, and what an alternative agenda could look like. Matt Haugen is Research and Editorial Manager at the Climate and Community Institute. The podcast is made in partnership with The Nation. Production is by Kyla Hewson. Supp...",硅谷想塑造我们的未来，但我们凭什么让它这么做？每周四，巴黎·马克思与嘉宾一道批判性地审视科技产业、它的大承诺，以及背后的那些人。,True,https://podcasts.apple.com/us/podcast/tech-wont-save-us/id1507621076?uo=4,
econtalk,EconTalk,EconTalk 经济漫谈,Russ Roberts,Courses,1062,2006-03-16,4M5Gb71lskQ0Rg6e08uQhi,G,跨学科思想者访谈，科学哲学与 STS 味道浓。,"EconTalk: Conversations for the Curious is an award-winning weekly podcast hosted by Russ Roberts of Shalem College in Jerusalem and Stanford's Hoover Institution. The eclectic guest list includes authors, doctors, psychologists, historians, philosophers, economists, and more. Learn how the health care system really works, the serenity that comes from humility, the challenge of interpreting data, how potato chips are made, what it's like to run an upscale Manhattan restaurant, what caused the 2008 financial crisis, the nature of consciousness, the conflicts and history of the Middle East, and more. EconTalk has been taking the Monday out of Mondays since 2006. All 1000+ episodes ar",EconTalk：好奇者的对话（Conversations for the Curious），获奖周播节目，主持人是耶路撒冷沙勒姆学院与斯坦福胡佛研究所的罗斯·罗伯茨。嘉宾名单横跨作家、医生、心理学家、历史学家与哲学家。,True,https://podcasts.apple.com/us/podcast/econtalk/id135066958?uo=4,
philosophybites,Philosophy Bites,哲学小咬,Edmonds and Warburton,Philosophy,408,2007-06-02,6UmBytzR58EY4hN1jzQG2o,G,15 分钟哲学访谈，通勤友好；与哲学大家直接对话。,"David Edmonds (Uehiro Centre, Oxford University) and Nigel Warburton (freelance philosopher/writer) interview top philosophers on a wide range of topics. Two books based on the series have been published by Oxford University Press. We are currently self-funding - donations very welcome via our website http://www.philosophybites.com",牛津大学（上广中心）大卫·埃德蒙兹与自由哲学家奈杰尔·沃伯顿访谈顶级哲学家，话题覆盖广泛；以此系列为基础已出版两本牛津大学出版社著作。,True,https://podcasts.apple.com/us/podcast/philosophy-bites/id257042117?uo=4,https://philosophybites.com/
pel,The Partially Examined Life,半途而废的哲学人生,"Mark Linsenmayer, Wes Alwan, Seth Paskin, Dylan Casey",Philosophy,884,2010-03-11,1APpUKebKOXJZjoCaCfoVk,G,几位'想开了'的哲学博士逐段精读原著。,"The Partially Examined Life is a podcast by some guys who were at one point set on doing philosophy for a living but then thought better of it. Each episode, we pick a short text and chat about it with some balance between insight and flippancy. You don't have to know any philosophy, or even to have read the text we're talking about to (mostly) follow and (hopefully) enjoy the discussion. For links to the texts we discuss and other info, check out www.partiallyexaminedlife.com. We also feature episodes from other podcasts by our hosts to round out your partially examined life, including Pretty Much Pop (prettymuchpop.com, covering all media), Nakedly Examined Music (nakedlyexaminedmusic.com,",一档由几位曾经立志以哲学为业、后来'想开'了的人制作的播客。每期挑一小段文本，在洞见与插科打诨之间围绕它深聊；不需要哲学背景也能跟上。,True,https://podcasts.apple.com/us/podcast/the-partially-examined-life-philosophy-podcast/id318345767?uo=4,https://partiallyexaminedlife.com/
hpwag,History of Philosophy Without Any Gaps,无缝哲学史,Peter Adamson,Philosophy,506,2010-10-25,5NkIduNOSgSELCYIa4RaNq,G,按年代'无缝'走完整个哲学史，治史系哲学家的选择。,"Peter Adamson, Professor of Philosophy at the LMU in Munich and at King’s College London, takes listeners through the history of philosophy, ”without any gaps.” The series looks at the ideas, lives and historical context of the major philosophers as well as the lesser-known figures of the tradition. www.historyofphilosophy.net. NOTE: iTunes shows only the most recent 300 episodes; subscribe on iTunes or go to a different platform for the whole series.",慕尼黑 LMU 与伦敦国王学院哲学教授彼得·亚当森带你'没有一丝缝隙'地走完哲学史：考察各大哲学家的思想、生平与时代语境。,True,https://podcasts.apple.com/us/podcast/history-of-philosophy-without-any-gaps/id396903391?uo=4,
betweenthecovers,Between the Covers,书页之间,"David Naimon, Milkweed Editions",Books,331,2019-12-14,0P9Mwj5XvNZxEpkvJrjAU6,G,当代文学深度访谈；作家常客是村上、石黑、韩江级。,BOOKS ∙ WORKSHOPS ∙ PODCAST,作家大卫·奈蒙主持的著名文学播客：与今日最富活力的思想家进行慷慨而深入的文学对话，照亮当代写作的复杂性。,True,https://podcasts.apple.com/us/podcast/between-the-covers-conversations-with-writers-in/id583648001?uo=4,https://milkweed.org/between-the-covers
geeksguide,Geek's Guide to the Galaxy,极客银河指南,David Barr Kirtley,Arts,623,2013-01-04,56AQKnEAl8pkpMeo2KZWyF,G,科幻作家访谈殿堂：特德·姜、尼尔·盖曼级嘉宾。,"Ad-free episodes are available to our paid supporters over at patreon.com/geeks Host David Barr Kirtley, author of the book Save Me Plz and Other Stories, talks geek culture with guests such as Neil Gaiman, George R. R. Martin, Margaret Atwood, Richard Dawkins, Simon Pegg, Amanda Knox, Andrew Yang, Joyce Carol Oates, Neil deGrasse Tyson, and Ursula K. Le Guin. Geek’s Guide to the Galaxy has appeared on recommended podcast lists from NPR, The Guardian, Wired, The A.V. Club, BBC America, CBC Radio, WVXU, io9, Omni, The Strand, Library Journal, and Popular Mechanics. CBC Radio writes, ""You may not think a podcast about science fiction and fantasy would be the place to go for political ins",主持人、作家大卫·巴尔·柯特利与尼尔·盖曼、乔治·R·R·马丁、玛格丽特·阿特伍德等嘉宾畅谈极客文化——科幻与流行文化访谈的旗舰节目。,True,https://podcasts.apple.com/us/podcast/geeks-guide-to-the-galaxy-a-science-fiction-podcast/id395738416?uo=4,https://www.geeksguideshow.com/
parisreview,The Paris Review,巴黎评论,The Paris Review,Books,51,2018-10-24,6TydwAwFbh9V9ua1XNsO12,G,文学季刊最佳访谈/小说/诗歌的有声化。,"The Paris Review Podcast returns with a new season, featuring the best interviews, fiction, essays, and poetry from America’s most legendary literary quarterly, brought to life in sound. Join us for intimate conversations with Sharon Olds and Olga Tokarczuk; fiction by Rivers Solomon, Jun'ichirō Tanizaki, and Zach Williams; poems by Terrance Hayes and Maggie Millner; nonfiction by Robert Glück, Jean Garnett, and Sean Thor Conroe; and performances by George Takei, Lena Waithe, and many others. Catch up on earlier seasons, and listen to the trailer for Season 4 now. ]]>",《巴黎评论》播客带来美国最传奇文学季刊的最佳访谈、小说、随笔与诗歌，以声音重现；与莎伦·欧茨、奥尔加·托卡尔丘克等人的亲密交谈。,True,https://podcasts.apple.com/us/podcast/the-paris-review/id1300382225?uo=4,
backlisted,Backlisted,绝版好书榜,Backlisted,Books,272,2015-11-30,1avsCeXhwQOXcNO52VsmZ2,G,每一集介绍一本被时代遗忘的好书（英式扎实书话）。,The literary podcast that has been giving new life to old books since 2015. For show notes visit backlisted.fm and get an extra two shows a month by supporting the pod at patreon.com/backlisted,自 2015 年起让老书重获新生的文学播客。节目笔记见 backlisted.fm，并可通过 Patreon 支持获取每月额外两期节目。,True,https://podcasts.apple.com/us/podcast/backlisted/id1063252175?uo=4,https://www.backlisted.fm/
historyhit,Dan Snow's History Hit,丹·斯诺历史直击,History Hit,History,1640,2013-01-01,19ywAHxXEhulGqF9jS32Kg,G,每日历史档，二战/中世纪/冷战选题密集。,"Historian Dan Snow journeys across the globe to tell the stories of history's defining moments. From the Colosseum in Rome to the Great Wall of China, the battlefields of Waterloo to the Tomb of Tutankhamun, join Dan as he explores the how and why of the greatest monuments, battles, heroes, villains and events that have shaped our world. New episodes on Mondays and Thursdays with bonus subscriber only episodes every other Friday. You can get in touch with us at ds.hh@historyhit.com <br&g",历史学家丹·斯诺走遍全球讲述历史的决定性时刻：从罗马斗兽场到中国长城，从滑铁卢战场到图坦卡蒙墓。,True,https://podcasts.apple.com/us/podcast/dan-snows-history-hit/id1042631089?uo=4,
longnow,Long Now,漫长的当下,The Long Now Foundation,Society & Culture,331,2014-11-14,7n1yR56sQ4LRXyEWNZSpN4,G,长期主义思想演讲：技术哲学、文明尺度。,"The Long Now Foundation is a non-profit dedicated to fostering long-term thinking and responsibility. Explore hundreds of lectures and conversations from scientists, historians, artists, entrepreneurs, and more through The Long Now Foundation's award-winning Long Now Talks, started in 02003 by Long Now co-founder Stewart Brand (creator of the Whole Earth Catalog). Past speakers include Brian Eno, Neal Stephenson, Jenny Odell, Daniel Kahneman, Suzanne Simard, Jennifer Pahlka, Kim Stanley Robinson, and many more. Watch video of these talks at https://longnow.org/talks",长期现在基金会是一家致力于培育长期思考与责任的非营利机构：数百场科学家、历史学家、艺术家与企业家的讲座与对话。,True,https://podcasts.apple.com/us/podcast/long-now/id186908455?uo=4,
lrb,The LRB Podcast,伦敦书评播客,The London Review of Books,Society & Culture,471,,5qp7xVVpV5lavnMcm0zMN1,G,深度书评与观念批评的英音权威。,,（Spotify 页面未能机器核验，采用站内搜索直达）《伦敦书评》杂志的播客：评书、评观念，英国书评界最锋利的声音之一。,False,https://podcasts.apple.com/us/podcast/the-lrb-podcast/id510327102?uo=4,
sinica,Sinica Podcast,中国纵横,Kaiser Kuo,Politics,557,,1QlGMoMsAncoBdH9Uz5u4N,G,英文世界看中国的深度访谈节目。,,（官方简介概要）SupChina 旗下深度中国政治与社会访谈节目，由资深媒体人郭恺（Kaiser Kuo）主持/出品。,False,https://podcasts.apple.com/us/podcast/sinica-podcast/id1121407665?uo=4,https://www.sinicapodcast.com/
candidframe,The Candid Frame,坦率的取景框,Ibarionex R. Perello,Visual Arts,669,,2WiuIilqvFukFTpV86c8ds,G,摄影访谈：每位摄影师谈自己的创作与观看。,,（官方简介概要）摄影师访谈节目：与来自不同领域的摄影师对话，探讨他们的创作实践、想法与观看方式。,False,https://podcasts.apple.com/us/podcast/the-candid-frame-conversations-on-photography/id127842171?uo=4,https://www.ibarionex.net/thecandidframe
videoarchives,The Video Archives Podcast with Quentin Tarantino & Roger Avary,录像档案播客（昆汀·塔伦蒂诺 × 罗杰·艾弗里）,Video Archives Podcast,Film History,43,2022-07-12,1mPDGdCtnT31VJR8Ei6Mnf,,昆汀·塔伦蒂诺与罗杰·艾弗里重刷当年打工的录像店库存：不是影评，是两个奥斯卡编剧把 B 级片当作者论讲。,"FULL, AD FREE EPISODES ON PATREON.COM/VIDEOARCHIVES Quentin Tarantino & Roger Avary invite you to become a customer at Video Archives, the video store where it all began. Joined by their trusty producer Gala Avary, they'll travel back in time to revisit old classics and discover new favorites, pulled from the thousands of actual VHS tapes that Quentin & Roger used to recommend to customers back in the day at the ori…",昆汀·塔伦蒂诺与罗杰·艾弗里邀请你成为 Video Archives 录像店的顾客——这家店正是他们电影生涯的起点。两人与制片人加拉·艾弗里一起，从店里数万盘录像带中挑片重看、闲聊争论。,True,https://podcasts.apple.com/us/podcast/id1627069896?uo=4,
ymrt,You Must Remember This,你是否还记得（好莱坞秘史）,Karina Longworth,TV & Film,276,2014-04-01,2sYCMjQed0gHYtXzPvcj5K,,好莱坞头一百年的秘史正传：曼森、黑名单、梦露——考据型影史叙事的天花板。,"You Must Remember This is a storytelling podcast exploring the secret and/or forgotten histories of Hollywood’s first century. It’s the brainchild and passion project of Karina Longworth (founder of Cinematical.com, former film critic for LA Weekly), who writes, narrates, records and edits each episode. It is a heavily-researched work of creative nonfiction: navigating through conflicting reports, mythology, and ins…",由 Karina Longworth 打造的叙事型播客，探索好莱坞第一个百年的秘密与被遗忘的历史：明星、丑闻、审查与权力。,True,https://podcasts.apple.com/us/podcast/id858124601?uo=4,
filmspotting,Filmspotting,电影 spotting,Filmspotting,Film Reviews,181,2005-03-01,64hSJ12039GyxN2FZrueUd,,2005 年开播的影评常青树：新片评论 + Top 5 片单，美国影评播客的制度性存在。,"Adam Kempenaar and Josh Larsen review new and classic movies, offering ""affable, insightful film analysis since 2005"" (NY Times).",Adam Kempenaar 与 Josh Larsen 评论新片与经典，《纽约时报》称其“自 2005 年以来和蔼而洞明的电影分析”。,True,https://podcasts.apple.com/us/podcast/id73330112?uo=4,
screendrafts,Screen Drafts,银幕选秀,Clay Keller and Ryan Marker,Film Reviews,417,2019-02-01,5qXizYahLTEgZSS7Cos9jB,,影评人轮流选秀建“最佳片单”：库布里克、科恩兄弟、1999……游戏机制里藏着正典社会学。,"Experts and enthusiasts competitively collaborate in the creation of screen-centric ""best of"" lists. Hosted by draft commissioners Clay Keller and Ryan Marker. ""Most impeccable taste in guests."" - Entertainment Weekly",专家与发烧友竞争性合作，围绕电影主题构建“最佳”榜单；由选秀专员 Clay Keller 与 Ryan Marker 主持。,True,https://podcasts.apple.com/us/podcast/id1431963108?uo=4,
teamdeakins,Team Deakins,迪金斯团队,"James Ellis Deakins, Roger Deakins",Film Interviews,370,2020-04-01,4MZfJbM2MXzZdPbv6gi5lJ,,摄影大师 Roger Deakins 夫妇的对谈节目：导演、演员、摄影指导轮流进直播间，谈手艺不谈八卦。,"The Team Deakins podcast is an ongoing conversation between acclaimed cinematographer Roger Deakins and James Deakins, his collaborator, about cinematography, the film business and whatever other questions are submitted. We start with a specific question and end....who knows where! We are joined by guests periodically. Followup questions can be posted in the forums at www.rogerdeakins.com.",著名摄影指导 Roger Deakins 与合作者 James Deakins 的持续对谈：聊摄影、电影行业与听众提交的各种问题。,True,https://podcasts.apple.com/us/podcast/id1510638084?uo=4,
newyorkerfiction,The New Yorker: Fiction,纽约客小说播客,The New Yorker,Books,234,2007-05-01,2IHYyH87D5gDc4UH61YcrU,,作家读《纽约客》档案里的老故事并细谈——文学批评以“朗读+对读”的形式发生。,A monthly reading and conversation with the New Yorker fiction editor Deborah Treisman.,每月一期：《纽约客》小说编辑 Deborah Treisman 邀请一位作家朗读杂志档案中的一篇短篇小说，并交谈背后的写作。,True,https://podcasts.apple.com/us/podcast/id256945396?uo=4,
bookworm,Bookworm,书虫（KCRW）,KCRW,Books,1622,1989-01-01,6IIJLHP6FHZd8eyvtqFgPM,,Michael Silverblatt 主持三十余年的文学访谈传奇：莫里森、石黑一雄、桑德斯都曾坐进他的录音间。,"<p>Intellectual, accessible, and provocative literary conversations.</p>",智性、可亲而尖锐的文学对谈——KCRW 旗舰文学节目。,True,https://podcasts.apple.com/us/podcast/id73330484?uo=4,
literaryfriction,Literary Friction,文学摩擦,Literary Friction,Arts,158,2018-01-01,3zPKei9f1grZGwSz3yKbEb,,文学经纪人 × 学者双主持：每期一个主题（约束/女性主义/亲密）配一位作家深访，批评味最足的当代文学节目。,"A monthly conversation about books and ideas on NTS Radio hosted by friends Carrie Plitt, a literary agent, and Octavia Bright, a writer and academic. Each show features an author interview, book recommendations, lively discussion and a little music too, all built around a related theme - anything from the novella to race to masculinity. Listen live on NTS Radio www.nts.live",NTS Radio 上的月更读书节目：文学经纪人 Carrie Plitt 与作家学者 Octavia Bright 每期采访一位作家并给出主题书单。,True,https://podcasts.apple.com/us/podcast/id1000387053?uo=4,
inourtimeculture,In Our Time: Culture,我们的时代：文化,BBC Radio 4,History,207,2011-01-01,2B3OBjwY0aFXEa7ey1fjMh,,Melvyn Bragg 召集三位学者四十五分钟讲透一个文化正典条目：《米德尔马契》《第七封印》都是一堂课。,"<p>Popular culture, poetry, music and visual arts and the roles they play in our society.</p>",大众文化、诗歌、音乐与视觉艺术，以及它们在社会中的角色——BBC Radio 4 旗舰讨论节目的文化线。,True,https://podcasts.apple.com/us/podcast/id463700760?uo=4,
asmallvoice,A Small Voice: Conversations with photographers and filmmakers,小小声音（摄影深访）,Ben Smith,Visual Arts,288,2015-03-01,3IGrxj5Y4tkeogCz3w4GwJ,,Ben Smith 主持的英国摄影深访双周刊：从大师到新人都聊人生与过程，Stephen Shore 第 192 期是入门首选。,"Fortnightly in-depth interviews featuring a diverse range of talented, innovative, world-class photographers from established, award-winning and internationally exhibited stars to young and emerging talents discussing their lives, work and process with fellow photographer, Ben Smith.",摄影师 Ben Smith 每两周一期的深度访谈：从获奖大师到新兴人才，聊生活、作品与创作过程。,True,https://podcasts.apple.com/us/podcast/id1039540784?uo=4,
photowork,PhotoWork with Sasha Wolf - Photography Podcast,摄影作品（Sasha Wolf 访谈）,PhotoWork Foundation,Visual Arts,124,2020-09-01,3KtFXGjuyFptvcVTJzFsrK,,摄影书出版人 Sasha Wolf 的职业向深访：Alec Soth、Ocean Vuong、Mitch Epstein 都来聊'如何以摄影为生'。,"PhotoWork with Sasha Wolf is a photography podcast produced by the PhotoWork Foundation, featuring in-depth interviews with photographers, curators, and publishers. Episodes explore photobooks, artistic practice, long-term projects, and fine art photography today.",PhotoWork 基金会出品的摄影播客：与摄影师、策展人、出版人深谈摄影书、艺术实践与长期项目。,True,https://podcasts.apple.com/us/podcast/id1523742299?uo=4,
abrushwith,A brush with...,艺术之笔（Art Newspaper 艺术家自述）,The Art Newspaper,Visual Arts,144,2020-08-01,7I2YOBCNy4lRyyXte3Yl3r,,Ben Luke 请艺术家自述影响图谱：从文学音乐到美术馆，Tillmans、Kentridge、Thomas Ruff 都做过客。,"A brush with..., sponsored by Bloomberg Connects, is a podcast by The Art Newspaper that features in-depth conversations with leading international artists. Host Ben Luke asks the questions you've always wanted to: who are the artists, historical and contemporary, they most admire?",《艺术新闻》播客：Ben Luke 与国际顶尖艺术家深谈他们最崇拜的艺术家、常去的美术馆、启发他们的书与音乐——以及'艺术为了什么'。,True,https://podcasts.apple.com/us/podcast/id1525997434?uo=4,
